ds,yhat,yhat_lower,yhat_upper
2025-06-25 10:14:21,-2.041561719008,-2.159568336841934,-1.92323954628107
2025-06-25 10:14:33,-2.041555949012972,-2.1513542569216657,-1.927144814514629
2025-06-25 10:16:27,-2.041501134072053,-2.1632546350512216,-1.9209888288958414
2025-06-25 10:16:33,-2.0414982490757567,-2.1580640482301443,-1.9233826521066117
2025-06-25 10:16:37,-2.041496325743926,-2.1580054971541958,-1.9177192632088194
2025-06-25 10:17:26,-2.041472764923316,-2.1572819198051567,-1.9234460490044356
2025-06-25 10:17:39,-2.041466514089589,-2.152085242465052,-1.9256603577477784
2025-06-25 10:32:05,-2.0410501123579357,-2.1618757160953854,-1.9189336344182146
2025-06-25 10:32:07,-2.0410491506905752,-2.14929654234728,-1.923883377772337
2025-06-25 10:32:16,-2.041044823185292,-2.148092807565686,-1.91602806226666
2025-06-25 10:32:21,-2.0410424190155223,-2.1541953390590685,-1.9225662127731853
2025-06-25 10:32:28,-2.041039053179599,-2.1552157054125574,-1.9279701624615966
2025-06-25 10:32:37,-2.0410347256797774,-2.1617954392319243,-1.9208480232654257
2025-06-25 20:05:10,-2.024516668975327,-2.139609964781202,-1.9186524363088115
2025-06-25 20:05:26,-2.024508975648677,-2.1379566280795967,-1.9140945439260821
2025-06-25 20:05:43,-2.0245008014933927,-2.139897572694171,-1.9087898438842923
2025-06-25 20:05:45,-2.024499839828065,-2.144618887781061,-1.8995961523528828
2025-06-25 20:05:49,-2.02449791649741,-2.1284883958439837,-1.901024992204392
2025-06-25 20:06:02,-2.024491665672781,-2.1235586723036635,-1.905708747436713
2025-06-25 21:06:02,-2.022760668083176,-2.1409777512900803,-1.9124060015128233
2025-06-25 22:06:02,-2.0210296704935704,-2.136372093335853,-1.905785601516418
2025-06-25 23:06:02,-2.0192986729039655,-2.138393420407882,-1.9082379307733113
2025-06-26 00:06:02,-2.01756767531436,-2.1323482392658097,-1.9000212367897398
2025-06-26 01:06:02,-2.0158366777247547,-2.1224064495722166,-1.8920943437149365
2025-06-26 02:06:02,-2.01410568013515,-2.130796034660349,-1.9060450636865496
2025-06-26 03:06:02,-2.0123746825455444,-2.12725517974098,-1.9023969334298996
2025-06-26 04:06:02,-2.010643684955939,-2.127943430216618,-1.8961983221874348
2025-06-26 05:06:02,-2.0089126873663337,-2.1257084484554767,-1.904676714095405
2025-06-26 06:06:02,-2.0071816897767287,-2.1250420371841945,-1.8892911721979544
2025-06-26 07:06:02,-2.0054506921871234,-2.1208735713640494,-1.8889519382339075
2025-06-26 08:06:02,-2.003719694597518,-2.1187721592234134,-1.891852077698888
2025-06-26 09:06:02,-2.0019886970079126,-2.10355033178246,-1.8815828449479624
2025-06-26 10:06:02,-2.0002576994183077,-2.1088232862671195,-1.8853921081514242
2025-06-26 11:06:02,-1.9985267018287023,-2.1148469789375994,-1.882647903065574
2025-06-26 12:06:02,-1.996795704239097,-2.1117506325984476,-1.8926296615832403
2025-06-26 13:06:02,-1.9950647066494915,-2.1078079660145193,-1.8724135118800331
2025-06-26 14:06:02,-1.9933337090598866,-2.106435423394891,-1.882019472885279
2025-06-26 15:06:02,-1.9916027114702812,-2.109209951717955,-1.8769239116696537
2025-06-26 16:06:02,-1.9898717138806759,-2.1050637517445154,-1.881372771243478
2025-06-26 17:06:02,-1.9881407162910705,-2.1077254490414568,-1.8755813323761166
2025-06-26 18:06:02,-1.9864097187014655,-2.103401454390542,-1.8624422644509249
2025-06-26 19:06:02,-1.9846787211118602,-2.0877878893875437,-1.8722245255424894
2025-06-26 20:06:02,-1.9829477235222548,-2.0970650616285336,-1.8645080334755249
2025-06-26 21:06:02,-1.9812167259326496,-2.094175687171808,-1.8656417917346937
2025-06-26 22:06:02,-1.9794857283430445,-2.093041575585618,-1.8666084242391747
2025-06-26 23:06:02,-1.977754730753439,-2.0904583009867848,-1.8580995383897774
2025-06-27 00:06:02,-1.9760237331638337,-2.085225894414987,-1.8570296500140662
2025-06-27 01:06:02,-1.9742927355742286,-2.0847050409740846,-1.8627354483907224
2025-06-27 02:06:02,-1.9725617379846234,-2.0895149479046937,-1.8620644276414167
