ds,yhat,yhat_lower,yhat_upper
2025-06-25 10:14:21,1.983139307955,1.8087838900905517,2.170955790737192
2025-06-25 10:14:33,1.9831371186234128,1.8062821470394297,2.155761871773901
2025-06-25 10:16:27,1.983116321451709,1.8112718112974162,2.1706148265751635
2025-06-25 10:16:33,1.9831152270176582,1.8110446394309314,2.168577957227652
2025-06-25 10:16:37,1.9831144975076658,1.808282291675737,2.1752439744017162
2025-06-25 10:17:26,1.983105562602264,1.807737632618803,2.1723560637645596
2025-06-25 10:17:39,1.9831031917396291,1.8149471962886676,2.1589491968087895
2025-06-25 10:32:05,1.9829452676846349,1.8099269145584929,2.15421703606074
2025-06-25 10:32:07,1.982944902906486,1.810340705244575,2.1582278402430766
2025-06-25 10:32:16,1.9829432615261293,1.8127779103773156,2.1639343820700825
2025-06-25 10:32:21,1.98294234938754,1.8176832372912974,2.150676066902467
2025-06-25 10:32:28,1.982941072469665,1.8093145700788311,2.151753420767699
2025-06-25 10:32:37,1.9829394309445652,1.804573766713248,2.152498456830694
2025-06-25 20:05:10,1.9766723222798652,1.8097758780221818,2.1519538602765786
2025-06-25 20:05:26,1.9766694037447816,1.808595508966731,2.1586254609104034
2025-06-25 20:05:43,1.9766663026768145,1.7987668542659714,2.153451151766274
2025-06-25 20:05:45,1.9766659378452889,1.7991699160433183,2.1493018547040657
2025-06-25 20:05:49,1.9766652081822378,1.799785804751428,2.154268087654437
2025-06-25 20:06:02,1.9766628367773216,1.8096233292043757,2.148862327681304
2025-06-25 21:06:02,1.9760061400313225,1.7869102146006899,2.1569754065886717
2025-06-25 22:06:02,1.9753494432853231,1.809618958435356,2.1619932450310526
2025-06-25 23:06:02,1.9746927465393236,1.804259146459634,2.1537664139416246
2025-06-26 00:06:02,1.9740360497933245,1.802720820419355,2.152737512700503
2025-06-26 01:06:02,1.973379353047325,1.79567256510932,2.1474319488317652
2025-06-26 02:06:02,1.9727226563013256,1.7930372984334282,2.151429280903763
2025-06-26 03:06:02,1.9720659595553265,1.8040024960252152,2.1478596845679876
2025-06-26 04:06:02,1.971409262809327,1.81480018642961,2.1376082044746094
2025-06-26 05:06:02,1.9707525660633276,1.794967454538846,2.1611495700038805
2025-06-26 06:06:02,1.9700958693173285,1.7951586663154384,2.146853705835851
2025-06-26 07:06:02,1.969439172571329,1.7970548087356526,2.144289420305398
2025-06-26 08:06:02,1.9687824758253296,1.7911215889135572,2.1409193679380962
2025-06-26 09:06:02,1.9681257790793305,1.7990633877624493,2.131786235251303
2025-06-26 10:06:02,1.967469082333331,1.7884371894348803,2.1327004936551126
2025-06-26 11:06:02,1.9668123855873318,1.7966277770972408,2.13284819152706
2025-06-26 12:06:02,1.9661556888413325,1.7852491302788005,2.1389729739015664
2025-06-26 13:06:02,1.965498992095333,1.7886843949733024,2.135159181654178
2025-06-26 14:06:02,1.9648422953493339,1.7871193582828506,2.1443339000234447
2025-06-26 15:06:02,1.9641855986033343,1.8027235799566879,2.1442316839418334
2025-06-26 16:06:02,1.963528901857335,1.7853485268469655,2.127358652061969
2025-06-26 17:06:02,1.9628722051113359,1.7955415204074934,2.151432229062239
2025-06-26 18:06:02,1.9622155083653363,1.786079596762184,2.1389416725987296
2025-06-26 19:06:02,1.961558811619337,1.7886936724511906,2.132795965030024
2025-06-26 20:06:02,1.9609021148733379,1.7821154554400858,2.1332504162413812
2025-06-26 21:06:02,1.9602454181273383,1.7866415139845657,2.13256237900726
2025-06-26 22:06:02,1.9595887213813392,1.7876093708377128,2.14251951673049
2025-06-26 23:06:02,1.9589320246353399,1.777793824151883,2.116324514007067
2025-06-27 00:06:02,1.9582753278893403,1.7772150381198848,2.128294783867146
2025-06-27 01:06:02,1.9576186311433412,1.7836784839824686,2.1392855186402007
2025-06-27 02:06:02,1.9569619343973417,1.774858871594797,2.1323502854533065
