ds,yhat,yhat_lower,yhat_upper
2025-06-25 10:14:21,1.98658598832,1.8350801227304383,2.13554982686844
2025-06-25 10:14:33,1.9865462785812804,1.8370037081117463,2.140965831222548
2025-06-25 10:16:27,1.9861690361328228,1.8376822163535773,2.1352679671677235
2025-06-25 10:16:33,1.986149181240863,1.8349252191776746,2.128328055174422
2025-06-25 10:16:37,1.9861359446039055,1.8286063033497801,2.1348547882076625
2025-06-25 10:17:26,1.9859737937484772,1.8342733082908416,2.1274373161911857
2025-06-25 10:17:39,1.9859307735572045,1.8449206078314857,2.1341480638960735
2025-06-25 10:32:05,1.983064979753678,1.832713362712809,2.1369126094220237
2025-06-25 10:32:07,1.9830583612773736,1.8250749320677775,2.1378613992227793
2025-06-25 10:32:16,1.9830285785700463,1.8248575862288603,2.13756619923132
2025-06-25 10:32:21,1.9830120328428043,1.8379972150145572,2.122287859778397
2025-06-25 10:32:28,1.9829888686163062,1.8380892330966203,2.134536314097409
2025-06-25 10:32:37,1.9829590863377087,1.830586488772316,2.13233684919397
2025-06-25 20:05:10,1.8692814109772262,1.7201825753358535,2.0091540527912457
2025-06-25 20:05:26,1.8692284658275047,1.736115004038968,2.0171710622983148
2025-06-25 20:05:43,1.8691722112469065,1.726849070633889,2.024674722506027
2025-06-25 20:05:45,1.8691655930609536,1.7184969182935927,2.0295750668640964
2025-06-25 20:05:49,1.8691523566890482,1.7178165795530183,2.0244944063237975
2025-06-25 20:06:02,1.8691093384803554,1.7033752535022806,2.022485308751474
2025-06-25 21:06:02,1.8571966037654457,1.70721707215187,2.005542279268603
2025-06-25 22:06:02,1.845283869050536,1.7104859899304192,1.9919952002367571
2025-06-25 23:06:02,1.833371134335626,1.6826867719551097,1.9837635336254091
2025-06-26 00:06:02,1.8214583996207163,1.664343617561668,1.9753316278374595
2025-06-26 01:06:02,1.8095456649058066,1.658828614778724,1.9768274343118144
2025-06-26 02:06:02,1.7976329301908966,1.651554511912649,1.949178892481293
2025-06-26 03:06:02,1.785720195475987,1.631657676951573,1.9340902678298324
2025-06-26 04:06:02,1.7738074607610772,1.614350484051329,1.9231812916819042
2025-06-26 05:06:02,1.7618947260461673,1.6126766392031031,1.9142707349922894
2025-06-26 06:06:02,1.7499819913312575,1.6000684684144408,1.8966514061904
2025-06-26 07:06:02,1.7380692566163478,1.5884825772649722,1.8966473745723014
2025-06-26 08:06:02,1.7261565219014379,1.5788078230107807,1.870738039020471
2025-06-26 09:06:02,1.7142437871865281,1.564432480300888,1.8741427299247837
2025-06-26 10:06:02,1.7023310524716184,1.5364766515691937,1.842395904408928
2025-06-26 11:06:02,1.6904183177567085,1.5388945015540048,1.84073515027529
2025-06-26 12:06:02,1.6785055830417988,1.5174524072347615,1.8383559369837779
2025-06-26 13:06:02,1.666592848326889,1.5116048335954704,1.812352971276621
2025-06-26 14:06:02,1.654680113611979,1.5083486711232776,1.80345777485013
2025-06-26 15:06:02,1.6427673788970694,1.4877271580313505,1.7909977622943618
2025-06-26 16:06:02,1.6308546441821596,1.4763711038800698,1.773869418628946
2025-06-26 17:06:02,1.6189419094672497,1.461537723488359,1.7766351019239555
2025-06-26 18:06:02,1.60702917475234,1.465194650456226,1.7478707043510084
2025-06-26 19:06:02,1.5951164400374302,1.4349349471936423,1.7404293633068746
2025-06-26 20:06:02,1.5832037053225203,1.43615016324524,1.7310171871925684
2025-06-26 21:06:02,1.5712909706076106,1.4259670783262646,1.7163283919008196
2025-06-26 22:06:02,1.5593782358927009,1.4129996220552594,1.7078571122567419
2025-06-26 23:06:02,1.547465501177791,1.3968852803796472,1.697935120753571
2025-06-27 00:06:02,1.5355527664628812,1.37952266982178,1.6871385400226393
2025-06-27 01:06:02,1.5236400317479715,1.370593471925141,1.6699016803478721
2025-06-27 02:06:02,1.5117272970330615,1.3586250180068433,1.6596691974471007
